activity_id,sport_type,timestamp,latitude,longitude,heart_rate,duration_seconds
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:30+00:00,-8.04639947,-34.95005481,92.0,56.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:31+00:00,-8.04640946,-34.95009413,92.0,57.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:32+00:00,-8.04641646,-34.95013513,93.0,58.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:33+00:00,-8.04642079,-34.95017879,94.0,59.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:34+00:00,-8.04642311,-34.95022346,93.0,60.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:35+00:00,-8.04642411,-34.95026746,93.0,61.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:36+00:00,-8.04642378,-34.95030845,94.0,62.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:37+00:00,-8.04642311,-34.95034878,94.0,63.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:38+00:00,-8.04642246,-34.95038744,94.0,64.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:39+00:00,-8.04642147,-34.95042477,94.0,65.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:40+00:00,-8.0464208,-34.95046009,93.0,66.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:41+00:00,-8.04642147,-34.95049376,93.0,67.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:42+00:00,-8.04642479,-34.95052475,91.0,68.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:43+00:00,-8.04642845,-34.95055374,90.0,69.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:44+00:00,-8.04643445,-34.95057974,90.0,70.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:45+00:00,-8.04644644,-34.95059873,89.0,71.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:46+00:00,-8.04646177,-34.95061173,89.0,72.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:47+00:00,-8.0464811,-34.95062139,88.0,73.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:48+00:00,-8.04650543,-34.95062939,88.0,74.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:49+00:00,-8.04653309,-34.95063605,88.0,75.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:50+00:00,-8.04656242,-34.95064271,88.0,76.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:51+00:00,-8.04659274,-34.95064804,89.0,77.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:52+00:00,-8.0466254,-34.95065403,89.0,78.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:53+00:00,-8.04666073,-34.95066036,89.0,79.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:54+00:00,-8.04669805,-34.95066536,89.0,80.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:55+00:00,-8.04673571,-34.95067101,91.0,81.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:56+00:00,-8.04677238,-34.95067768,91.0,82.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:57+00:00,-8.04681204,-34.95068267,92.0,83.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:58+00:00,-8.04685104,-34.950687,93.0,84.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:35:59+00:00,-8.04689037,-34.95069234,94.0,85.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:00+00:00,-8.04692937,-34.95069799,94.0,86.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:01+00:00,-8.04696936,-34.95070333,93.0,87.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:02+00:00,-8.04701036,-34.95070798,93.0,88.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:03+00:00,-8.04705068,-34.95071298,93.0,89.0
