time,latitude,longitude,altitude
2022-07-28T22:36:44Z,-8.051657,-34.949416,15.9
2022-07-28T22:36:45Z,-8.051653,-34.949417,15.9
2022-07-28T22:36:46Z,-8.05165,-34.949417,15.9
2022-07-28T22:36:47Z,-8.051649,-34.949415,15.9
2022-07-28T22:36:48Z,-8.051648,-34.949414,15.9
2022-07-28T22:36:49Z,-8.051648,-34.949412,15.9
2022-07-28T22:36:50Z,-8.051648,-34.94941,15.9
2022-07-28T22:36:51Z,-8.051648,-34.949409,15.9
2022-07-28T22:36:52Z,-8.051648,-34.949409,15.9
2022-07-28T22:36:53Z,-8.051648,-34.94941,15.9
2022-07-28T22:36:54Z,-8.051648,-34.94941,15.9
2022-07-28T22:36:55Z,-8.051648,-34.94941,15.9
2022-07-28T22:36:56Z,-8.051645,-34.949404,15.9
2022-07-28T22:36:58Z,-8.051645,-34.949403,15.9
2022-07-28T22:36:59Z,-8.051645,-34.949403,15.9
2022-07-28T22:37:00Z,-8.051645,-34.949404,15.9
2022-07-28T22:37:02Z,-8.051641,-34.9494,15.9
2022-07-28T22:37:03Z,-8.05164,-34.9494,15.9
2022-07-28T22:37:04Z,-8.051641,-34.9494,15.9
2022-07-28T22:37:05Z,-8.051641,-34.949401,15.9
2022-07-28T22:37:06Z,-8.051641,-34.949401,15.9
2022-07-28T22:37:07Z,-8.051641,-34.949401,15.9
2022-07-28T22:37:08Z,-8.051638,-34.949398,15.9
2022-07-28T22:37:09Z,-8.051637,-34.949396,15.9
2022-07-28T22:37:10Z,-8.051636,-34.949397,15.9
2022-07-28T22:37:11Z,-8.051636,-34.949399,15.9
2022-07-28T22:37:12Z,-8.051636,-34.949402,15.9
2022-07-28T22:37:13Z,-8.051635,-34.949404,15.9
2022-07-28T22:37:14Z,-8.051635,-34.949406,15.9
2022-07-28T22:37:15Z,-8.051635,-34.949408,15.9
2022-07-28T22:37:16Z,-8.051635,-34.949411,15.9
2022-07-28T22:37:17Z,-8.051634,-34.949413,15.9
2022-07-28T22:37:18Z,-8.051634,-34.949415,15.9
2022-07-28T22:37:19Z,-8.051634,-34.949417,15.9
2022-07-28T22:37:20Z,-8.051633,-34.949419,15.9
2022-07-28T22:37:21Z,-8.051633,-34.949422,16.0
2022-07-28T22:37:22Z,-8.051633,-34.949424,16.0
2022-07-28T22:37:23Z,-8.051632,-34.949426,16.0
2022-07-28T22:37:24Z,-8.051632,-34.949428,16.0
2022-07-28T22:37:25Z,-8.051632,-34.949431,16.0
2022-07-28T22:37:26Z,-8.051631,-34.949433,16.0
2022-07-28T22:37:27Z,-8.051631,-34.949435,16.0
2022-07-28T22:37:28Z,-8.051631,-34.949437,16.0
2022-07-28T22:37:29Z,-8.051631,-34.949439,16.0
2022-07-28T22:37:30Z,-8.05163,-34.949442,16.0
2022-07-28T22:37:31Z,-8.05163,-34.949444,16.0
2022-07-28T22:37:32Z,-8.05163,-34.949446,16.0
2022-07-28T22:37:33Z,-8.051629,-34.949448,16.0
2022-07-28T22:37:35Z,-8.051629,-34.949451,16.0
2022-07-28T22:37:36Z,-8.051629,-34.949453,16.0
2022-07-28T22:37:37Z,-8.051628,-34.949455,16.0
2022-07-28T22:37:38Z,-8.051628,-34.949457,16.0
2022-07-28T22:37:39Z,-8.051628,-34.949459,16.0
2022-07-28T22:37:40Z,-8.051627,-34.949462,16.0
2022-07-28T22:37:41Z,-8.051627,-34.949464,16.0
2022-07-28T22:37:42Z,-8.051627,-34.949466,16.0
2022-07-28T22:37:43Z,-8.051627,-34.949468,16.0
2022-07-28T22:37:44Z,-8.051626,-34.949471,16.0
2022-07-28T22:37:45Z,-8.051624,-34.949476,16.0
2022-07-28T22:37:46Z,-8.051621,-34.949487,16.0
2022-07-28T22:37:47Z,-8.051615,-34.9495,16.0
2022-07-28T22:37:48Z,-8.051607,-34.949537,16.0
2022-07-28T22:37:49Z,-8.051608,-34.949552,16.0
2022-07-28T22:37:50Z,-8.051605,-34.949568,16.0
2022-07-28T22:37:51Z,-8.051601,-34.949585,16.0
2022-07-28T22:37:52Z,-8.051597,-34.949599,16.0
2022-07-28T22:37:54Z,-8.05158,-34.949626,16.0
2022-07-28T22:37:55Z,-8.051576,-34.949629,16.0
2022-07-28T22:37:56Z,-8.051565,-34.949636,16.0
2022-07-28T22:37:57Z,-8.051547,-34.949645,16.0
2022-07-28T22:37:59Z,-8.051526,-34.949665,16.0
2022-07-28T22:38:00Z,-8.051526,-34.949677,16.0
2022-07-28T22:38:01Z,-8.051527,-34.949693,16.0
2022-07-28T22:38:02Z,-8.05153,-34.949724,16.0
2022-07-28T22:38:03Z,-8.051531,-34.949739,16.0
2022-07-28T22:38:04Z,-8.051534,-34.949744,16.0
2022-07-28T22:38:05Z,-8.051538,-34.949756,16.0
2022-07-28T22:38:06Z,-8.051538,-34.949774,16.0
2022-07-28T22:38:07Z,-8.051534,-34.949789,16.0
2022-07-28T22:38:09Z,-8.051527,-34.949812,16.0
2022-07-28T22:38:10Z,-8.051524,-34.94983,16.0
2022-07-28T22:38:11Z,-8.051521,-34.949846,16.0
2022-07-28T22:38:12Z,-8.051521,-34.949862,16.0
2022-07-28T22:38:14Z,-8.051523,-34.949891,16.0
2022-07-28T22:38:15Z,-8.051522,-34.949909,16.0
2022-07-28T22:38:16Z,-8.051519,-34.949924,16.0
2022-07-28T22:38:17Z,-8.051517,-34.949939,16.0
2022-07-28T22:38:19Z,-8.051513,-34.949964,16.0
2022-07-28T22:38:20Z,-8.051506,-34.949981,16.0
2022-07-28T22:38:21Z,-8.051499,-34.949995,16.0
2022-07-28T22:38:22Z,-8.051494,-34.950009,16.0
2022-07-28T22:38:23Z,-8.051489,-34.950025,16.0
2022-07-28T22:38:24Z,-8.051482,-34.950051,16.0
2022-07-28T22:38:25Z,-8.051481,-34.95006,16.0
2022-07-28T22:38:26Z,-8.051482,-34.950081,16.0
2022-07-28T22:38:27Z,-8.051485,-34.950092,16.0
2022-07-28T22:38:28Z,-8.051487,-34.950103,16.0
2022-07-28T22:38:29Z,-8.051499,-34.950125,16.0
2022-07-28T22:38:30Z,-8.051498,-34.950136,16.0
2022-07-28T22:38:31Z,-8.051494,-34.950164,16.0
2022-07-28T22:38:33Z,-8.051492,-34.950177,16.0
2022-07-28T22:38:34Z,-8.05149,-34.950191,16.0
2022-07-28T22:38:35Z,-8.051488,-34.950204,16.0
2022-07-28T22:38:36Z,-8.051486,-34.950219,16.0
2022-07-28T22:38:38Z,-8.051483,-34.950245,16.0
2022-07-28T22:38:39Z,-8.051476,-34.950275,16.0
2022-07-28T22:38:40Z,-8.051474,-34.950281,16.0
2022-07-28T22:38:41Z,-8.051469,-34.950294,16.0
2022-07-28T22:38:43Z,-8.05146,-34.950316,16.0
2022-07-28T22:38:44Z,-8.051451,-34.950347,16.0
2022-07-28T22:38:45Z,-8.05145,-34.950353,16.0
2022-07-28T22:38:46Z,-8.051446,-34.950365,16.0
2022-07-28T22:38:47Z,-8.051441,-34.950378,16.0
2022-07-28T22:38:49Z,-8.051428,-34.950403,16.0
2022-07-28T22:38:50Z,-8.051412,-34.950419,16.0
2022-07-28T22:38:51Z,-8.051406,-34.950425,16.0
2022-07-28T22:38:52Z,-8.0514,-34.950431,16.0
2022-07-28T22:38:53Z,-8.051385,-34.950451,16.0
2022-07-28T22:38:54Z,-8.051381,-34.950459,16.0
2022-07-28T22:38:55Z,-8.051369,-34.950484,16.0
2022-07-28T22:38:57Z,-8.051362,-34.950499,16.0
