time,latitude,longitude,altitude
2022-08-18T20:50:40Z,-8.04820833,-34.95066666,
2022-08-18T20:50:41Z,-8.048234,-34.95066367,
2022-08-18T20:50:42Z,-8.04827566,-34.95068033,
2022-08-18T20:50:43Z,-8.04830898,-34.95069833,
2022-08-18T20:50:44Z,-8.04831231,-34.95070199,
2022-08-18T20:50:45Z,-8.04828366,-34.95069432,
2022-08-18T20:50:46Z,-8.048242,-34.95068633,
2022-08-18T20:50:47Z,-8.04820333,-34.95067767,
2022-08-18T20:50:48Z,-8.04816434,-34.95067234,
2022-08-18T20:50:49Z,-8.04811601,-34.95066168,
2022-08-18T20:50:50Z,-8.04806868,-34.95065134,
2022-08-18T20:50:51Z,-8.04803235,-34.95064135,
2022-08-18T20:50:52Z,-8.04800703,-34.95063335,
2022-08-18T20:50:53Z,-8.04798536,-34.95062902,
2022-08-18T20:50:54Z,-8.04796404,-34.9506287,
2022-08-18T20:50:55Z,-8.04794338,-34.95063002,
2022-08-18T20:50:56Z,-8.04792472,-34.95062936,
2022-08-18T20:50:57Z,-8.04790838,-34.95062904,
2022-08-18T20:50:59Z,-8.04789305,-34.95063003,
2022-08-18T20:50:59Z,-8.04787772,-34.95063103,
2022-08-18T20:51:00Z,-8.04786172,-34.95063402,
2022-08-18T20:51:01Z,-8.04784473,-34.95063868,
2022-08-18T20:51:02Z,-8.0478294,-34.95064068,
2022-08-18T20:51:03Z,-8.04781607,-34.95063868,
2022-08-18T20:51:04Z,-8.04780308,-34.95063635,
2022-08-18T20:51:05Z,-8.04779041,-34.95063535,
2022-08-18T20:51:06Z,-8.04777709,-34.95063503,
2022-08-18T20:51:07Z,-8.04776543,-34.9506377,
2022-08-18T20:51:08Z,-8.04775443,-34.9506427,
2022-08-18T20:51:09Z,-8.04774377,-34.95064835,
2022-08-18T20:51:10Z,-8.04773411,-34.95065102,
2022-08-18T20:51:11Z,-8.04772612,-34.95065335,
2022-08-18T20:51:12Z,-8.04771812,-34.95065569,
2022-08-18T20:51:13Z,-8.0477088,-34.95065734,
2022-08-18T20:51:14Z,-8.04769846,-34.95065834,
2022-08-18T20:51:15Z,-8.0476868,-34.95065768,
2022-08-18T20:51:16Z,-8.04767381,-34.95065635,
2022-08-18T20:51:17Z,-8.04766114,-34.95065235,
2022-08-18T20:51:18Z,-8.04764714,-34.95064836,
2022-08-18T20:51:19Z,-8.04763415,-34.95064171,
2022-08-18T20:51:20Z,-8.04762248,-34.95063504,
2022-08-18T20:51:21Z,-8.04761016,-34.95062738,
