,Unnamed: 0,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Max Speed,Average Speed,Calories,data_ano,data_mes,tempo_min
394,394,6123609614,"Oct 16, 2021, 10:34:51 PM",Funcional,Weight Training,,3284,0.0,143.0,0.0,0.0,,2021,10,54.73333333333333
395,395,6143259080,"Oct 20, 2021, 10:07:36 PM",Caminhada na UFPE,Walk,,2488,3.26,177.0,1.78085196018219,1.3494573831558228,301.0610046386719,2021,10,41.46666666666667
396,396,6147878376,"Oct 21, 2021, 10:31:52 PM",Funcional,Weight Training,,2651,0.0,166.0,0.0,0.0,,2021,10,44.18333333333333
397,397,6171646720,"Oct 23, 2021, 3:41:59 PM",Caminhada de ReposiÃÂ§ÃÂ£o de Vitamina D,Walk,,2913,4.54,142.0,2.108850479125977,1.5680006742477417,418.45123291015625,2021,10,48.55
398,398,6171744040,"Oct 26, 2021, 10:37:48 PM",Caminhada na UFPE,Walk,,2514,3.61,177.0,2.1677446365356445,1.4384628534317017,333.24566650390625,2021,10,41.9
399,399,6171744264,"Oct 26, 2021, 11:22:43 PM",Corrida na UFPE,Run,,1493,3.61,189.0,3.6793739795684814,2.660518884658813,380.9983215332031,2021,10,24.883333333333333
400,400,6180862684,"Oct 28, 2021, 10:25:53 PM",Funcional,Weight Training,,3485,0.0,172.0,0.0,0.0,,2021,10,58.083333333333336
401,401,6188357744,"Oct 30, 2021, 3:39:13 PM",Caminhada de ReposiÃÂ§ÃÂ£o de Vitamina D,Walk,,2920,4.79,147.0,2.0293564796447754,1.6418668031692505,441.794921875,2021,10,48.66666666666666
402,402,6208439164,"Nov 1, 2021, 7:51:58 PM",Futebol na UFPE com Davi,Walk,,1892,0.66,190.0,2.0455663204193115,0.818267285823822,60.92655563354492,2021,11,31.53333333333333
403,403,6208439656,"Nov 3, 2021, 10:26:40 PM",Funcional,Weight Training,,3654,0.0,152.0,0.0,0.0,,2021,11,60.9
404,404,6213102417,"Nov 4, 2021, 10:39:56 PM",Caminhada de aquecimento,Walk,,636,1.02,156.0,2.0578033924102783,1.6081414222717283,94.2501983642578,2021,11,10.6
405,405,6213102664,"Nov 4, 2021, 10:51:12 PM",Corrida na UFPE,Run,,2386,5.42,186.0,3.0881240367889404,2.6221923828125,545.8472290039062,2021,11,39.766666666666666
406,406,6216955657,"Nov 5, 2021, 10:43:30 PM",Funcional,Weight Training,,3519,0.0,147.0,0.0,0.0,,2021,11,58.65
407,407,6231565181,"Nov 8, 2021, 10:52:18 PM",Caminhada de aquecimento,Walk,,642,1.04,153.0,2.2202188968658447,1.6201127767562866,95.84717559814452,2021,11,10.7
408,408,6231565522,"Nov 8, 2021, 11:03:42 PM",Corrida na UFPE,Run,,2387,5.55,190.0,2.973114490509033,2.803231000900269,561.9459838867188,2021,11,39.78333333333333
409,409,6236354812,"Nov 9, 2021, 10:42:03 PM",Caminhada na UFPE,Walk,,2466,4.18,171.0,2.2172930240631104,1.696911096572876,385.61322021484375,2021,11,41.1
410,410,6245354058,"Nov 11, 2021, 10:27:09 PM",Caminhada na UFPE,Walk,,3070,4.92,175.0,1.974398732185364,1.6025612354278564,453.3700256347656,2021,11,51.16666666666666
411,411,6249364926,"Nov 12, 2021, 11:03:03 PM",Funcional,Weight Training,,2840,0.0,155.0,0.0,0.0,,2021,11,47.333333333333336
412,412,6254206729,"Nov 13, 2021, 11:34:49 PM",Funcional,Weight Training,,3243,0.0,160.0,0.0,0.0,,2021,11,54.05
413,413,6258388991,"Nov 14, 2021, 1:29:02 PM",Futebol na UFPE com Davi,Walk,,3411,0.0,138.0,0.0,0.0,0.0,2021,11,56.85
414,414,6263312196,"Nov 15, 2021, 10:06:22 PM",Funcional,Weight Training,,3763,0.0,161.0,0.0,0.0,,2021,11,62.71666666666667
415,415,6268062168,"Nov 16, 2021, 10:54:22 PM",Caminhada de aquecimento,Walk,,1268,2.01,177.0,2.053358793258667,1.5883774757385254,185.5976409912109,2021,11,21.133333333333333
416,416,6285245086,"Nov 16, 2021, 11:15:59 PM",Corrida na UFPE,Run,,2228,5.17,184.0,2.8770523071289062,2.6770575046539307,489.2821350097656,2021,11,37.13333333333333
417,417,6285245297,"Nov 20, 2021, 8:50:26 PM",Caminhada de aquecimento,Walk,,616,1.01,152.0,2.0308494567871094,1.6485395431518557,93.57933807373048,2021,11,10.266666666666667
418,418,6285245537,"Nov 20, 2021, 9:01:17 PM",Corrida na UFPE,Run,,2488,5.31,193.0,2.997415781021118,2.381153345108032,531.2228393554688,2021,11,41.46666666666667
419,419,6299222463,"Nov 23, 2021, 10:47:22 PM",Caminhada na UFPE,Walk,,3509,5.28,165.0,1.8558498620986936,1.5069040060043335,487.26959228515625,2021,11,58.48333333333333
420,420,6307714008,"Nov 25, 2021, 10:45:21 PM",Funcional,Weight Training,,4621,0.0,141.0,0.0,0.0,,2021,11,77.01666666666667
421,421,6310947479,"Nov 26, 2021, 10:22:22 PM",Futebol com Davi,Elliptical,,2185,0.0,125.0,0.0,0.0,,2021,11,36.41666666666666
422,422,6323621531,"Nov 29, 2021, 10:28:02 PM",Caminhada de aquecimento,Walk,,796,1.21,146.0,1.8453084230422967,1.5221028327941897,111.64923095703124,2021,11,13.266666666666667
423,423,6323622169,"Nov 29, 2021, 10:41:50 PM",Corrida na UFPE,Run,,3019,6.58,183.0,2.8646433353424072,2.5536725521087646,639.7030029296875,2021,11,50.31666666666667
424,424,6331668418,"Dec 1, 2021, 9:00:12 PM",Funcional,Elliptical,,2893,0.0,157.0,0.0,0.0,,2021,12,48.21666666666667
425,425,6347649410,"Dec 5, 2021, 3:18:03 PM",Caminhada de ReposiÃÂ§ÃÂ£o de Vitamina D,Walk,,2705,4.2,157.0,2.035953998565674,1.552838921546936,387.0738220214844,2021,12,45.083333333333336
426,426,6356701765,"Dec 7, 2021, 10:52:26 PM",Caminhada de aquecimento,Walk,,741,1.22,143.0,3.339477777481079,1.651004433631897,112.73661041259766,2021,12,12.35
427,427,6356702239,"Dec 7, 2021, 11:05:19 PM",Corrida na UFPE,Run,,2753,6.4,186.0,2.8870465755462646,2.6276023387908936,630.8472900390625,2021,12,45.88333333333333
428,428,6364604680,"Dec 9, 2021, 10:32:38 PM",Caminhada de aquecimento,Walk,,756,1.18,159.0,1.8823391199111936,1.5675829648971558,109.2072296142578,2021,12,12.6
429,429,6364605001,"Dec 9, 2021, 10:46:14 PM",Corrida na UFPE,Run,,2853,6.52,190.0,3.2084343433380127,2.6834938526153564,653.2215576171875,2021,12,47.55
430,430,6372314195,"Dec 11, 2021, 10:18:05 PM",Corrida na UFPE,Run,,3554,8.26,,4.586035251617432,2.343502759933472,762.0335083007812,2021,12,59.23333333333333
431,431,6408728646,"Dec 20, 2021, 10:33:30 PM",Funcional,Weight Training,,3453,0.0,151.0,0.0,0.0,,2021,12,57.55
432,432,6412879624,"Dec 21, 2021, 10:08:46 PM",Caminhada na UFPE,Walk,,3059,4.09,145.0,1.891452670097351,1.4238567352294922,376.8349304199219,2021,12,50.98333333333333
433,433,6422072237,"Dec 23, 2021, 10:11:39 PM",Caminhada na UFPE,Walk,,3186,4.55,156.0,2.025007724761963,1.5036648511886597,419.9883117675781,2021,12,53.1
434,434,6427207208,"Dec 25, 2021, 9:16:42 PM",Caminhada de aquecimento,Walk,,3208,4.56,152.0,1.969851970672608,1.4365479946136477,420.5688781738281,2021,12,53.46666666666667
435,435,6427207325,"Dec 25, 2021, 10:11:31 PM",Corrida na UFPE,Run,,1421,3.3,188.0,3.139652967453003,2.693213701248169,332.5453186035156,2021,12,23.683333333333334
436,436,6435721452,"Dec 27, 2021, 11:16:09 PM",Funcional,Weight Training,,2804,0.0,142.0,0.0,0.0,,2021,12,46.73333333333333
437,437,6440138024,"Dec 28, 2021, 10:22:27 PM",Caminhada na UFPE,Walk,,3303,4.6,155.0,1.905171513557434,1.4142214059829712,424.3286437988281,2021,12,55.05
438,438,6468927028,"Jan 3, 2022, 10:52:20 PM",Treino academia,Weight Training,,3472,0.0,171.0,0.0,0.0,,2022,1,57.86666666666667
439,439,6474039207,"Jan 4, 2022, 10:25:41 PM",Caminhada na UFPE,Walk,,3959,5.66,149.0,2.4654030799865723,1.5371509790420532,521.9801025390625,2022,1,65.98333333333333
440,440,6484061797,"Jan 6, 2022, 10:33:26 PM",Caminhada de aquecimento,Walk,,635,1.04,157.0,1.9233671426773071,1.6410795450210571,96.02963256835938,2022,1,10.583333333333334
441,441,6484110213,"Jan 6, 2022, 10:44:29 PM",Corrida na UFPE,Run,,914,2.09,183.0,2.85284423828125,2.5859618186950684,208.76809692382807,2022,1,15.233333333333333
442,442,6484110635,"Jan 6, 2022, 11:02:01 PM",Corrida na UFPE,Run,,1975,4.49,188.0,3.1298539638519287,2.728323459625244,442.4077453613281,2022,1,32.916666666666664
443,443,6484110825,"Jan 6, 2022, 11:36:54 PM",Caminhada de relaxamento,Walk,,1190,1.45,147.0,1.7288849353790283,1.3798424005508425,133.76547241210938,2022,1,19.83333333333333
444,444,6493674695,"Jan 8, 2022, 8:00:31 PM",Caminhada acompanhando Davi no patinete,Walk,,2431,3.01,136.0,3.0468482971191406,1.267749547958374,277.6914978027344,2022,1,40.516666666666666
445,445,6502043388,"Jan 10, 2022, 3:37:53 PM",Treino academia,Weight Training,,2385,0.0,139.0,0.0,0.0,,2022,1,39.75
446,446,6535430329,"Jan 11, 2022, 10:05:34 PM",Caminhada na UFPE,Walk,,3909,5.74,175.0,2.0491654872894287,1.536290407180786,529.19091796875,2022,1,65.15
447,447,6535430638,"Jan 16, 2022, 7:19:41 PM",Caminhada acompanhando Davi no patinete,Walk,,2514,2.99,142.0,3.1718599796295166,1.3086776733398438,275.9231262207031,2022,1,41.9
448,448,6545851333,"Jan 18, 2022, 9:28:57 PM",Caminhada de aquecimento,Walk,,713,1.13,154.0,1.8663541078567505,1.5866189002990725,104.24674224853516,2022,1,11.883333333333333
449,449,6545851787,"Jan 18, 2022, 9:41:17 PM",Corrida na UFPE,Run,,2475,5.49,183.0,2.7779979705810547,2.603757858276367,541.626708984375,2022,1,41.25
450,450,6565958665,"Jan 20, 2022, 10:01:58 PM",Caminhada de aquecimento,Walk,,723,1.17,144.0,1.8762544393539429,1.625535488128662,108.30138397216795,2022,1,12.05
