latitude,longitude,elevation,timestamp,cad,distance,distance_cumulative
-8.044446,-34.939787,13.4,2020-07-14 22:37:49+00:00,59,0.5638598709107887,98.34955516358589
-8.044452,-34.939786,13.4,2020-07-14 22:37:50+00:00,59,0.6726694871846127,99.0222246507705
-8.044457,-34.939784,13.4,2020-07-14 22:37:51+00:00,57,0.5953072972443102,99.6175319480148
-8.044463,-34.939783,13.4,2020-07-14 22:37:52+00:00,57,0.6726694873048418,100.29020143531964
-8.044468,-34.939782,13.4,2020-07-14 22:37:53+00:00,57,0.5638598704063361,100.85406130572598
-8.044581,-34.939756,13.4,2020-07-14 22:37:54+00:00,57,12.821770901713714,113.6758322074397
-8.044596,-34.939759,13.4,2020-07-14 22:37:55+00:00,57,1.691579601000619,115.36741180844032
-8.04461,-34.939763,13.4,2020-07-14 22:37:56+00:00,57,1.609902212570768,116.9773140210111
-8.044625,-34.939766,13.4,2020-07-14 22:37:57+00:00,57,1.6915795986189277,118.66889361963003
-8.044637,-34.939766,13.4,2020-07-14 22:37:58+00:00,56,1.3271522972533139,119.99604591688335
-8.044649,-34.939766,13.4,2020-07-14 22:37:59+00:00,56,1.3271522976873775,121.32319821457072
-8.04466,-34.939766,13.4,2020-07-14 22:38:00+00:00,56,1.216556274136349,122.53975448870708
-8.044672,-34.939766,13.4,2020-07-14 22:38:01+00:00,56,1.3271522992401705,123.86690678794724
-8.044684,-34.939766,13.4,2020-07-14 22:38:02+00:00,56,1.327152300380818,125.19405908832806
-8.044699,-34.939768,13.4,2020-07-14 22:38:03+00:00,56,1.6735252857667164,126.86758437409478
-8.044713,-34.939769,13.4,2020-07-14 22:38:04+00:00,56,1.5522632380002697,128.41984761209505
-8.044728,-34.939771,13.4,2020-07-14 22:38:05+00:00,56,1.67352528637611,130.09337289847116
-8.044742,-34.939773,13.4,2020-07-14 22:38:06+00:00,56,1.5639609775927956,131.65733387606394
-8.044756,-34.939775,13.4,2020-07-14 22:38:07+00:00,56,1.563960977594668,133.2212948536586
-8.044769,-34.939777,13.4,2020-07-14 22:38:08+00:00,56,1.4545528376166417,134.67584769127524
-8.044783,-34.939779,13.4,2020-07-14 22:38:09+00:00,56,1.5639609777490078,136.23980866902426
-8.044796,-34.939781,13.4,2020-07-14 22:38:10+00:00,56,1.4545528370174443,137.6943615060417
-8.044808,-34.939781,13.4,2020-07-14 22:38:11+00:00,56,1.3271523079856535,139.02151381402734
-8.044821,-34.939781,13.4,2020-07-14 22:38:12+00:00,56,1.437748335339532,140.45926214936688
-8.044833,-34.939781,13.4,2020-07-14 22:38:13+00:00,56,1.327152309581421,141.7864144589483
-8.044845,-34.939781,13.4,2020-07-14 22:38:14+00:00,56,1.3271523107222416,143.11356676967054
-8.044859,-34.939779,13.4,2020-07-14 22:38:15+00:00,56,1.5639609773799583,144.6775277470505
-8.044872,-34.939777,13.4,2020-07-14 22:38:16+00:00,56,1.4545528361603892,146.1320805832109
-8.044886,-34.939775,13.4,2020-07-14 22:38:17+00:00,56,1.5639609773577443,147.69604156056863
-8.044899,-34.939773,13.4,2020-07-14 22:38:18+00:00,59,1.454552835737463,149.1505943963061
-8.044913,-34.939774,13.4,2020-07-14 22:38:19+00:00,59,1.5522632493787585,150.70285764568487
-8.044928,-34.939776,13.4,2020-07-14 22:38:20+00:00,59,1.6735252875607705,152.37638293324565
-8.044942,-34.939777,13.4,2020-07-14 22:38:21+00:00,58,1.5522632509901113,153.92864618423576
-8.044956,-34.939779,13.4,2020-07-14 22:38:22+00:00,58,1.5639609775429946,155.49260716177875
-8.044969,-34.939781,13.4,2020-07-14 22:38:23+00:00,58,1.4545528347393906,156.94715999651814
-8.044983,-34.939782,13.4,2020-07-14 22:38:24+00:00,58,1.552263253079501,158.49942324959764
-8.044996,-34.939784,13.4,2020-07-14 22:38:25+00:00,58,1.4545528343164147,159.95397608391406
-8.045009,-34.939786,13.4,2020-07-14 22:38:26+00:00,58,1.4545528344468888,161.40852891836096
-8.045024,-34.939788,13.4,2020-07-14 22:38:27+00:00,58,1.6735252882213845,163.08205420658234
-8.045039,-34.939791,13.4,2020-07-14 22:38:28+00:00,58,1.6915795661998976,164.77363377278223
-8.045054,-34.939793,13.4,2020-07-14 22:38:29+00:00,58,1.6735252890347219,166.44715906181696
-8.045069,-34.939796,13.4,2020-07-14 22:38:30+00:00,58,1.6915795634930373,168.13873862531
-8.045082,-34.9398,13.4,2020-07-14 22:38:31+00:00,58,1.5038400181149754,169.64257864342497
-8.045094,-34.939804,13.4,2020-07-14 22:38:32+00:00,58,1.3984805182373026,171.04105916166228
-8.045107,-34.939808,13.4,2020-07-14 22:38:33+00:00,58,1.503840012195334,172.5448991738576
-8.045119,-34.939812,12.2,2020-07-14 22:38:34+00:00,58,1.398480511039636,173.94337968489722
-8.045134,-34.939816,12.2,2020-07-14 22:38:35+00:00,58,1.716536545879903,175.65991623077713
-8.045149,-34.939821,12.2,2020-07-14 22:38:36+00:00,58,1.7481006293281993,177.40801686010533
-8.045163,-34.939825,12.2,2020-07-14 22:38:37+00:00,58,1.6099020888292765,179.0179189489346
-8.045178,-34.93983,12.2,2020-07-14 22:38:38+00:00,58,1.7481006188566948,180.7660195677913
-8.045189,-34.939835,12.2,2020-07-14 22:38:39+00:00,56,1.33558290597348,182.10160247376476
-8.045201,-34.93984,12.2,2020-07-14 22:38:40+00:00,56,1.4370475816756574,183.53865005544043
-8.045212,-34.939845,12.2,2020-07-14 22:38:41+00:00,56,1.3355828937665137,184.87423294920694
-8.045223,-34.93985,12.2,2020-07-14 22:38:42+00:00,56,1.3355828885339838,186.20981583774093
