latitude,longitude,elevation,timestamp,distance,distance_cumulative
-8.048496,-34.951125,16.7,2022-08-11 21:10:00+00:00,1.4372543013036476,72.20400731572303
-8.048494,-34.951138,16.7,2022-08-11 21:10:01+00:00,1.4499635839125935,73.65397089963562
-8.048492,-34.951151,16.7,2022-08-11 21:10:02+00:00,1.449963591982066,75.1039344916177
-8.048492,-34.951178,16.7,2022-08-11 21:10:03+00:00,2.976215900786009,78.08015039240371
-8.048493,-34.95119,16.7,2022-08-11 21:10:04+00:00,1.32737803166302,79.40752842406673
-8.048493,-34.951207,16.7,2022-08-11 21:10:06+00:00,1.8739137109763904,81.28144213504312
-8.048492,-34.951234,16.7,2022-08-11 21:10:07+00:00,2.9782700609755985,84.25971219601873
-8.048494,-34.951263,16.7,2022-08-11 21:10:09+00:00,3.204319820127908,87.46403201614663
-8.048498,-34.951279,16.7,2022-08-11 21:10:10+00:00,1.8183187791071622,89.28235079525379
-8.0485,-34.951295,16.7,2022-08-11 21:10:11+00:00,1.7774997374191206,91.05985053267291
-8.048501,-34.951323,16.7,2022-08-11 21:10:12+00:00,3.0884269040756833,94.1482774367486
-8.048501,-34.951334,16.7,2022-08-11 21:10:13+00:00,1.2125323775293857,95.36080981427799
-8.048509,-34.951361,16.7,2022-08-11 21:10:15+00:00,3.1049437327850504,98.46575354706303
-8.048508,-34.951388,16.7,2022-08-11 21:10:16+00:00,2.9782699437045723,101.4440234907676
-8.048506,-34.951402,16.7,2022-08-11 21:10:17+00:00,1.558994285297907,103.00301777606552
-8.048509,-34.951422,16.7,2022-08-11 21:10:18+00:00,2.22943119000365,105.23244896606917
-8.048515,-34.951432,16.7,2022-08-11 21:10:20+00:00,1.286624832868966,106.51907379893814
-8.048515,-34.951442,16.7,2022-08-11 21:10:21+00:00,1.1023021238388748,107.621375922777
-8.048513,-34.951451,16.7,2022-08-11 21:10:22+00:00,1.016431316782312,108.63780723955932
-8.048511,-34.95146,16.7,2022-08-11 21:10:23+00:00,1.0164313220428298,109.65423856160216
-8.048515,-34.951484,16.7,2022-08-11 21:10:24+00:00,2.682257794394721,112.33649635599687
-8.048521,-34.951492,16.7,2022-08-11 21:10:25+00:00,1.1036205154593923,113.44011687145627
-8.04851,-34.951509,16.7,2022-08-11 21:10:26+00:00,2.2341803712912567,115.67429724274753
-8.0485,-34.951518,16.7,2022-08-11 21:10:28+00:00,1.4857170841120604,117.16001432685958
-8.048488,-34.951533,16.7,2022-08-11 21:10:29+00:00,2.12019848055783,119.28021280741741
-8.04849,-34.951539,16.7,2022-08-11 21:10:30+00:00,0.6973888342524126,119.97760164166982
-8.048488,-34.951546,16.7,2022-08-11 21:10:31+00:00,0.8026894196788036,120.78029106134862
-8.04849,-34.951571,16.7,2022-08-11 21:10:32+00:00,2.7646182804859256,123.54490934183454
-8.048495,-34.951587,16.7,2022-08-11 21:10:33+00:00,1.8483415813952093,125.39325092322974
-8.048499,-34.951602,16.7,2022-08-11 21:10:34+00:00,1.71161077384046,127.1048616970702
-8.048517,-34.951624,16.7,2022-08-11 21:10:35+00:00,3.1375053944544216,130.2423670915246
-8.048522,-34.951657,16.7,2022-08-11 21:10:36+00:00,3.6793883762548516,133.92175546777946
-8.048522,-34.951666,16.7,2022-08-11 21:10:37+00:00,0.9920718947419294,134.9138273625214
-8.04852,-34.951694,16.7,2022-08-11 21:10:38+00:00,3.0943616845044652,138.00818904702587
-8.048521,-34.951704,16.7,2022-08-11 21:10:39+00:00,1.1078363707569288,139.1160254177828
-8.04853,-34.951725,16.7,2022-08-11 21:10:40+00:00,2.519763601946828,141.63578901972963
-8.04853,-34.951734,16.7,2022-08-11 21:10:41+00:00,0.992071874499991,142.62786089422963
-8.048531,-34.951743,16.7,2022-08-11 21:10:42+00:00,0.9982174558264281,143.62607835005605
-8.048529,-34.951758,16.7,2022-08-11 21:10:43+00:00,1.668182596097045,145.2942609461531
-8.048538,-34.951768,16.7,2022-08-11 21:10:45+00:00,1.4852003817610975,146.7794613279142
-8.048542,-34.951774,16.7,2022-08-11 21:10:46+00:00,0.7956939748760417,147.57515530279022
-8.048539,-34.951803,16.7,2022-08-11 21:10:47+00:00,3.2138482458526574,150.78900354864288
-8.048538,-34.95181,16.7,2022-08-11 21:10:48+00:00,0.7794970827019224,151.5685006313448
-8.048541,-34.951822,16.7,2022-08-11 21:10:49+00:00,1.3637389470452492,152.93223957839004
-8.048543,-34.951822,16.7,2022-08-11 21:10:50+00:00,0.22119209187294867,153.153431670263
-8.048543,-34.95183,16.7,2022-08-11 21:10:51+00:00,0.8818416383762373,154.03527330863923
-8.048541,-34.95184,16.7,2022-08-11 21:10:52+00:00,1.124275656165738,155.15954896480497
-8.048539,-34.951853,16.7,2022-08-11 21:10:53+00:00,1.4499634275787787,156.60951239238375
-8.048538,-34.951865,16.7,2022-08-11 21:10:54+00:00,1.3273778816136015,157.93689027399736
-8.048545,-34.951855,16.7,2022-08-11 21:10:55+00:00,1.3470013342979705,159.28389160829533
-8.048546,-34.951861,16.7,2022-08-11 21:10:56+00:00,0.6705643968117104,159.95445600510703
-8.048545,-34.951869,16.7,2022-08-11 21:10:57+00:00,0.8887497689807653,160.8432057740878
-8.048543,-34.95188,16.7,2022-08-11 21:10:58+00:00,1.2325422505518002,162.0757480246396
-8.048542,-34.951894,16.7,2022-08-11 21:10:59+00:00,1.5471807605667909,163.6229287852064
-8.048544,-34.951894,16.7,2022-08-11 21:11:00+00:00,0.2211920918764005,163.8441208770828
-8.048544,-34.9519,16.7,2022-08-11 21:11:01+00:00,0.6613812269648075,164.5055021040476
-8.048541,-34.951921,16.7,2022-08-11 21:11:02+00:00,2.3384912281423884,166.84399333219
-8.04854,-34.951934,16.7,2022-08-11 21:11:03+00:00,1.4372541463490527,168.28124747853906
-8.048539,-34.951946,16.7,2022-08-11 21:11:04+00:00,1.3273778791648756,169.60862535770394
-8.048535,-34.951964,16.7,2022-08-11 21:11:05+00:00,2.0328625259837136,171.64148788368766
-8.048533,-34.951973,16.7,2022-08-11 21:11:06+00:00,1.0164312694710127,172.65791915315867
-8.048532,-34.951982,16.7,2022-08-11 21:11:07+00:00,0.9982174505653457,173.656136603724
-8.048521,-34.952005,16.7,2022-08-11 21:11:08+00:00,2.812068546326642,176.46820515005064
-8.048516,-34.952016,16.7,2022-08-11 21:11:09+00:00,1.3326746691874523,177.80087981923808
-8.048503,-34.95203,16.7,2022-08-11 21:11:11+00:00,2.109184255680687,179.91006407491875
-8.048498,-34.952041,16.7,2022-08-11 21:11:12+00:00,1.332674717851263,181.24273879277
-8.04849,-34.952066,16.7,2022-08-11 21:11:13+00:00,2.8943052982469,184.13704409101692
