activity_id,sport_type,timestamp,latitude,longitude,heart_rate,speed
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:20Z,-8.04385877,-34.94128282,128.0,4.130000114440918
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:20Z,-8.04386242,-34.94130848,128.0,4.0
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:21Z,-8.04387342,-34.94133081,127.0,3.740000009536743
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:22Z,-8.04389208,-34.94134948,127.0,3.359999895095825
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:23Z,-8.04391875,-34.94136447,127.0,3.359999895095825
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:24Z,-8.04394974,-34.94137713,127.0,3.0999999046325684
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:25Z,-8.04398307,-34.94138979,126.0,3.059999942779541
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:26Z,-8.04401639,-34.94140246,126.0,3.059999942779541
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:27Z,-8.04405405,-34.94141678,125.0,3.200000047683716
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:28Z,-8.04408938,-34.94143144,125.0,3.549999952316284
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:29Z,-8.04412737,-34.94144544,125.0,3.549999952316284
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:30Z,-8.04416737,-34.94145676,124.0,3.930000066757202
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:31Z,-8.04420936,-34.94146642,124.0,4.179999828338623
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:32Z,-8.04425536,-34.94147742,123.0,4.289999961853027
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:33Z,-8.04430103,-34.94148908,122.0,4.380000114440918
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:34Z,-8.04434402,-34.94150007,121.0,4.480000019073486
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:35Z,-8.04438734,-34.94151074,121.0,4.480000019073486
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:36Z,-8.04443068,-34.94152141,120.0,4.579999923706055
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:37Z,-8.044476,-34.94153441,120.0,4.670000076293945
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:38Z,-8.044517,-34.94154706,120.0,4.760000228881836
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:39Z,-8.04455899,-34.9415604,120.0,4.800000190734863
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:40Z,-8.04460032,-34.94157373,121.0,4.800000190734863
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:41Z,-8.04464266,-34.94158705,121.0,4.800000190734863
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:42Z,-8.04468565,-34.94160105,121.0,4.800000190734863
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:43Z,-8.04472797,-34.94161538,121.0,4.800000190734863
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:44Z,-8.04477164,-34.94162938,121.0,4.849999904632568
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:45Z,-8.04481463,-34.94164404,121.0,4.900000095367432
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:46Z,-8.04485729,-34.94165837,121.0,4.900000095367432
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:47Z,-8.04489963,-34.94167203,121.0,4.900000095367432
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:48Z,-8.04494229,-34.94168469,122.0,4.920000076293945
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:49Z,-8.04498363,-34.94169836,124.0,4.920000076293945
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:50Z,-8.04502162,-34.94171469,124.0,4.920000076293945
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:51Z,-8.04505727,-34.94173136,124.0,4.920000076293945
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:52Z,-8.04509126,-34.94174901,124.0,4.920000076293945
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:53Z,-8.04512525,-34.94176535,124.0,4.920000076293945
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:54Z,-8.04515959,-34.94178,125.0,4.869999885559082
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:55Z,-8.04519459,-34.941793,125.0,4.800000190734863
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:56Z,-8.04523124,-34.94180434,125.0,4.670000076293945
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:57Z,-8.04526858,-34.94181533,125.0,4.519999980926514
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:58Z,-8.0453059,-34.94182699,125.0,4.400000095367432
2023-11-02T13:25:05Z,ride,2023-11-02T13:29:59Z,-8.04534457,-34.94183765,125.0,4.400000095367432
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:00Z,-8.04538289,-34.94184765,125.0,4.340000152587891
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:01Z,-8.04542056,-34.94185798,124.0,4.340000152587891
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:02Z,-8.04545788,-34.94186932,124.0,4.320000171661377
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:03Z,-8.0454952,-34.94188097,124.0,4.320000171661377
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:04Z,-8.0455322,-34.9418913,124.0,4.320000171661377
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:05Z,-8.04557087,-34.94190063,124.0,4.320000171661377
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:06Z,-8.04560986,-34.94190829,124.0,4.340000152587891
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:07Z,-8.04564952,-34.94191529,123.0,4.340000152587891
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:08Z,-8.04569118,-34.94192262,123.0,4.340000152587891
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:09Z,-8.04573384,-34.94193161,122.0,4.360000133514404
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:10Z,-8.04577617,-34.94194228,122.0,4.380000114440918
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:11Z,-8.0458195,-34.94195393,122.0,4.380000114440918
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:12Z,-8.0458615,-34.94196726,121.0,4.440000057220459
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:13Z,-8.04590182,-34.94198226,121.0,4.519999980926514
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:14Z,-8.04594148,-34.94199859,121.0,4.599999904632568
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:15Z,-8.04598048,-34.94201792,121.0,4.670000076293945
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:16Z,-8.04601447,-34.94203858,121.0,4.690000057220459
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:17Z,-8.04604413,-34.9420619,121.0,4.690000057220459
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:18Z,-8.04606946,-34.94208789,122.0,4.710000038146973
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:19Z,-8.04608911,-34.94211689,126.0,4.710000038146973
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:20Z,-8.04610345,-34.94214888,127.0,4.670000076293945
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:21Z,-8.04611377,-34.94218354,127.0,4.519999980926514
2023-11-02T13:25:05Z,ride,2023-11-02T13:30:22Z,-8.0461211,-34.94221921,127.0,4.380000114440918
